8e-07	12.0982	10.7414	8.9991	18.6502	50.4889	
8.05263e-07	12.7383	10.941	10.4287	19.8347	53.9427	
8.10526e-07	13.3055	11.2669	12.1333	20.8688	57.5745	
8.15789e-07	13.7882	11.7249	14.2088	21.6936	61.4156	
8.21053e-07	14.1627	12.3113	16.7953	22.2123	65.4816	
8.26316e-07	14.384	12.9948	20.0944	22.2648	69.7379	
8.31579e-07	14.3744	13.6816	24.3765	21.5942	74.0266	
8.36842e-07	14.0178	14.15	29.9258	19.8304	77.924	
8.42105e-07	13.1905	13.9733	36.7942	16.5936	80.5516	
8.47368e-07	11.8966	12.5871	44.2609	11.9389	80.6835	
8.52632e-07	10.4798	9.79512	50.5448	7.02795	77.8477	
8.57895e-07	9.52386	6.3679	54.0871	3.75306	73.7319	
8.63158e-07	9.29628	3.51907	55.3756	2.92963	71.1206	
8.68421e-07	9.55375	1.81998	56.2959	3.77708	71.4467	
8.73684e-07	9.87958	1.16047	58.3839	5.11987	74.5438	
8.78947e-07	9.88736	1.28302	62.2871	6.11129	79.5687	
8.84211e-07	9.18186	2.07997	67.6639	6.18623	85.112	
8.89474e-07	7.34288	3.61286	72.2607	4.98543	88.2018	
8.94737e-07	4.32828	5.82836	70.6455	2.75842	83.5605	
9e-07	1.34511	8.00618	57.9157	1.00279	68.2698	
